Sr. No,State,District1,District,Major Sector,Sub-sector1,Sub-Sector,Detailed Sector,Occupation/Activity,Concatenate,Sum of Activity,Outstanding credit Sep 2017,Ratio = Outstanding credit 2017/sum of activity,01-09-2017,01-12-2017,01-03-2018,01-06-2018,01-09-2018,01-12-2018,01-03-2019,01-06-2019,01-09-2019,01-12-2019,01-03-2020,01-06-2020,01-09-2020,01-12-2020,01-03-2021,01-06-2021,01-09-2021,01-12-2021,01-03-2022,01-06-2022,01-09-2022,01-12-2022,01-03-2023,01-06-2023,01-09-2023,01-12-2023,01-03-2024,01-06-2024,01-09-2024,01-12-2024,01-03-2025
11,GUJARAT,182,JAMNAGAR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,JAMNAGAR Mfr of Dairy Products,135453776,14831,0.0001,0.17,0.25,0.21,0.20,0.24,0.18,0.13,0.16,0.17,0.11,0.11,0.10,0.11,0.07,0.09,0.09,0.11,0.07,0.10,0.11,0.10,0.11,0.13,0.10,0.10,0.08,0.07,0.06,0.06,0.05,0.19
11,GUJARAT,183,JUNAGADH,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,JUNAGADH Mfr of Dairy Products,135453776,44298,0.0003,0.17,0.10,0.06,0.05,0.07,0.06,0.09,0.11,0.19,0.14,0.13,0.15,0.15,0.10,0.13,0.10,0.15,0.08,0.16,0.13,0.14,0.11,0.05,0.09,0.12,0.08,0.05,0.05,0.07,0.05,0.03
11,GUJARAT,184,KACHCHH,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KACHCHH Mfr of Dairy Products,135453776,11700,0.0001,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.06,0.05,0.83,0.98,1.17,0.09,0.07,0.10,0.11,0.12,0.10,0.12,0.11,0.10,2.51
11,GUJARAT,185,KHEDA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KHEDA Mfr of Dairy Products,135453776,4928,,0.03,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.07,0.07,0.07,0.10,0.11,0.12,0.08,0.12,0.11,0.09,0.12,0.14,0.12,0.08,0.10,0.16,0.16,0.17,0.18,0.18,0.17,0.11
11,GUJARAT,186,MAHESANA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,MAHESANA Mfr of Dairy Products,135453776,5623019,0.0415,8.78,8.16,6.94,7.66,7.32,6.76,7.06,6.44,5.06,3.22,1.93,2.81,4.02,3.59,2.36,4.28,2.05,1.61,1.36,2.79,2.85,3.14,1.14,1.88,1.40,0.18,3.44,3.63,3.68,3.26,3.31
11,GUJARAT,187,MAHISAGAR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,MAHISAGAR Mfr of Dairy Products,135453776,11507,0.0001,1.31,1.29,1.30,1.15,1.10,1.61,0.88,0.92,0.72,0.43,0.43,0.36,0.40,0.20,0.23,0.18,0.18,0.13,0.11,0.05,0.08,0.11,0.09,0.08,0.06,0.06,0.06,0.07,0.06,0.06,0.04
11,GUJARAT,188,MORBI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,MORBI Mfr of Dairy Products,135453776,60162,0.0004,0.38,0.29,0.09,0.07,0.05,0.05,0.04,0.05,0.04,0.03,0.03,0.03,0.04,0.02,0.01,0.01,0.01,0.17,0.16,0.03,0.04,0.03,0.03,0.04,0.05,0.04,0.04,0.03,0.04,0.03,0.11
11,GUJARAT,189,NARMADA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,NARMADA Mfr of Dairy Products,135453776,7742,0.0001,0.55,0.63,0.17,0.15,1.50,0.21,0.20,0.10,0.10,0.16,0.20,0.18,0.24,0.27,0.25,0.31,0.34,0.38,0.37,0.60,0.66,0.86,0.55,0.49,0.53,0.62,0.62,0.79,0.98,0.78,0.34
11,GUJARAT,190,NAVSARI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,NAVSARI Mfr of Dairy Products,135453776,211154,0.0016,2.30,3.03,1.51,0.04,2.61,2.44,0.04,0.04,0.05,0.06,0.04,0.03,0.06,0.05,0.05,6.56,0.19,0.19,0.20,0.11,0.16,0.19,0.17,0.20,0.18,0.13,0.17,0.53,0.45,0.45,0.40
11,GUJARAT,191,PANCH MAHALS,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,PANCH MAHALS Mfr of Dairy Products,135453776,496806,0.0037,8.22,5.37,7.66,8.12,9.18,7.78,5.79,5.32,7.59,9.34,8.22,7.90,6.11,5.84,0.73,7.92,6.58,0.47,0.68,0.28,0.37,0.34,0.97,0.92,0.38,0.50,3.68,0.46,4.54,1.17,0.28
11,GUJARAT,192,PATAN,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,PATAN Mfr of Dairy Products,135453776,10539,0.0001,0.09,0.08,0.18,0.09,0.15,0.19,0.17,0.20,0.21,0.15,0.23,0.20,0.27,0.21,0.24,0.26,0.23,0.23,0.21,0.25,0.19,0.13,0.16,0.21,0.26,0.29,0.23,0.20,0.28,0.31,0.33
11,GUJARAT,193,PORBANDAR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,PORBANDAR Mfr of Dairy Products,135453776,8082,0.0001,0.06,0.16,0.20,0.20,0.09,0.11,0.38,0.66,0.99,0.74,0.15,0.20,0.53,0.07,0.09,0.20,0.10,0.09,0.08,1.00,0.93,0.75,0.62,0.77,0.56,0.46,0.35,0.35,1.37,1.48,1.73
11,GUJARAT,194,RAJKOT,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,RAJKOT Mfr of Dairy Products,135453776,966082,0.0071,0.86,0.55,0.49,0.45,0.45,0.51,0.51,0.60,0.63,0.54,0.55,0.49,0.61,0.48,0.57,0.47,0.68,0.62,0.56,0.46,0.40,0.27,0.38,0.43,0.43,0.34,0.42,0.37,0.31,0.28,0.40
11,GUJARAT,195,SABAR KANTHA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SABAR KANTHA Mfr of Dairy Products,135453776,1264157,0.0093,7.06,9.23,10.32,9.34,9.69,8.78,7.09,7.26,3.33,0.19,0.50,7.36,1.81,3.46,1.49,3.35,0.46,4.06,2.48,4.44,3.28,0.41,0.45,0.35,0.42,3.67,0.28,6.20,6.78,6.95,6.57
11,GUJARAT,196,SURAT,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SURAT Mfr of Dairy Products,135453776,1275022,0.0094,2.19,3.47,4.80,6.64,7.10,7.25,8.57,7.57,9.08,8.24,7.09,7.34,6.70,6.72,5.44,5.43,5.20,6.44,5.07,6.25,5.84,4.41,4.35,6.97,5.33,4.89,3.65,3.21,3.71,2.97,2.48
11,GUJARAT,197,SURENDRANAGAR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SURENDRANAGAR Mfr of Dairy Products,135453776,682,,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.03,0.03,0.14,0.15,0.15,0.23,0.26,0.26,0.25,0.28,0.29,0.31,0.17,0.16,0.20,0.23,1.12,1.40,1.94,2.09,1.93
11,GUJARAT,198,TAPI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,TAPI Mfr of Dairy Products,135453776,1833,,0.21,0.15,0.14,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.02,0.02,0.11,0.09,0.77,0.45,0.52,0.47,0.51,0.14,1.05,1.15,1.04,0.91,0.97,0.82,0.68,0.51,0.61,0.63,1.03
11,GUJARAT,199,VADODARA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,VADODARA Mfr of Dairy Products,135453776,2925720,0.0216,5.61,5.95,3.95,3.05,2.81,3.14,3.69,4.19,2.81,2.87,2.37,4.55,7.41,7.63,6.32,8.32,7.46,8.84,7.91,7.83,7.49,7.86,6.86,5.58,4.03,4.66,3.90,6.70,5.73,4.82,1.70
11,GUJARAT,200,VALSAD,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,VALSAD Mfr of Dairy Products,135453776,10604,0.0001,0.04,0.05,0.04,0.03,0.12,0.11,0.08,0.09,0.05,0.06,0.06,0.05,0.06,0.05,0.05,0.05,0.08,0.10,0.11,0.09,0.19,0.31,0.44,0.52,0.36,0.32,0.28,0.26,0.21,0.22,0.18
12,HARYANA,201,AMBALA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,AMBALA Mfr of Dairy Products,135453776,531263,0.0039,1.84,1.28,1.66,1.65,1.70,1.85,2.66,2.21,1.69,2.05,2.76,2.99,3.12,1.67,2.45,1.98,1.43,1.41,1.49,1.82,1.24,1.35,1.22,1.32,1.19,1.05,1.07,1.07,0.93,0.99,1.57
12,HARYANA,202,BHIWANI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,BHIWANI Mfr of Dairy Products,135453776,31899,0.0002,0.24,0.22,0.07,0.06,0.07,0.07,0.07,0.05,0.06,0.06,0.08,0.07,0.11,0.11,0.12,0.77,0.76,0.88,0.83,0.82,0.98,1.29,0.99,1.19,1.43,1.22,1.06,1.18,1.29,1.25,1.37
12,HARYANA,203,CHARKI DADRI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,CHARKI DADRI Mfr of Dairy Products,135453776,,,-,-,0.19,0.14,0.16,0.19,0.14,0.13,0.10,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.15,0.56,0.50,0.15,0.31,0.25,0.18,0.13
12,HARYANA,204,FARIDABAD,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,FARIDABAD Mfr of Dairy Products,135453776,258938,0.0019,2.49,2.60,2.72,2.40,0.33,0.54,0.28,0.23,0.23,0.24,0.25,0.93,0.76,0.30,0.54,0.52,0.17,0.66,1.08,1.32,0.43,0.77,0.52,0.53,0.38,0.37,0.31,0.14,0.10,0.22,0.27
12,HARYANA,205,FATEHABAD,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,FATEHABAD Mfr of Dairy Products,135453776,8678,0.0001,0.06,0.04,0.05,0.04,0.05,0.03,0.03,0.06,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.03,0.02,0.02,0.02,0.05,0.05,0.03
12,HARYANA,206,GURGAON,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,GURGAON Mfr of Dairy Products,135453776,1216966,0.009,1.14,1.07,1.18,1.46,1.57,1.40,1.05,1.25,1.15,1.46,1.46,1.03,0.95,0.76,0.40,0.78,0.59,0.67,0.53,-,-,-,-,-,-,-,-,-,-,-,-
12,HARYANA,207,GURUGRAM,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,GURUGRAM Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.26,0.46,0.29,0.65,0.56,0.33,0.61,0.49,0.51,0.53,0.84,0.68
12,HARYANA,208,HISAR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,HISAR Mfr of Dairy Products,135453776,9715,0.0001,0.03,0.03,0.05,0.05,0.09,0.06,0.09,0.08,0.11,0.08,0.08,0.07,0.08,0.06,0.06,0.08,0.11,0.09,0.07,0.09,0.12,0.19,0.15,0.26,0.26,0.21,0.20,0.25,0.26,0.23,0.19
12,HARYANA,209,JHAJJAR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,JHAJJAR Mfr of Dairy Products,135453776,7237,0.0001,0.22,0.32,0.30,0.31,0.26,0.23,0.17,0.33,0.28,0.22,0.33,0.39,0.32,0.44,0.42,0.30,0.34,0.31,0.33,0.42,0.36,0.30,0.10,0.10,0.07,0.13,0.10,0.10,0.17,0.19,0.26
12,HARYANA,210,JIND,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,JIND Mfr of Dairy Products,135453776,204139,0.0015,1.43,3.01,2.46,1.82,0.56,0.55,0.18,0.32,0.03,0.68,0.38,0.83,0.24,0.65,0.77,1.28,1.09,1.49,1.68,1.21,1.54,2.34,2.00,1.84,1.81,1.71,1.17,1.15,0.91,1.01,2.22
12,HARYANA,211,KAITHAL,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KAITHAL Mfr of Dairy Products,135453776,6618,,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.06,0.06,0.17,0.18,0.12,0.10,0.12,0.14,0.06,0.07
12,HARYANA,212,KARNAL,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KARNAL Mfr of Dairy Products,135453776,105529,0.0008,0.02,0.03,0.02,0.03,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.07,0.05,0.05,0.07,0.09,0.07,0.06,0.06,0.08,0.08,0.08,0.12,0.12,0.07,0.08
12,HARYANA,213,KURUKSHETRA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KURUKSHETRA Mfr of Dairy Products,135453776,127428,0.0009,0.36,0.30,0.52,0.64,0.60,0.47,0.41,0.50,0.50,0.47,0.62,0.79,0.78,0.42,0.86,0.91,0.79,0.71,0.95,1.00,0.90,0.84,0.79,1.13,0.99,0.73,0.54,0.66,0.58,0.59,0.53
12,HARYANA,214,MAHENDRAGARH,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,MAHENDRAGARH Mfr of Dairy Products,135453776,1597,,0.03,0.07,0.17,0.15,0.19,0.26,0.76,1.32,1.50,1.22,1.19,1.23,0.53,0.53,0.52,0.50,0.59,0.52,0.41,0.50,0.54,0.44,0.40,0.50,0.60,0.58,0.38,0.29,0.31,0.32,0.29
12,HARYANA,215,MEWAT,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,MEWAT Mfr of Dairy Products,135453776,38930,0.0003,7.26,5.86,6.56,5.64,6.18,5.79,5.66,7.13,7.42,6.60,7.04,5.44,4.91,4.69,4.86,4.24,4.48,5.27,4.16,4.42,4.40,5.26,4.52,5.22,3.98,-,-,-,-,-,-
12,HARYANA,216,PALWAL,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,PALWAL Mfr of Dairy Products,135453776,6906,0.0001,0.14,0.11,0.10,0.14,0.10,0.14,0.13,0.18,0.18,0.14,0.21,0.25,0.23,0.21,0.35,0.41,0.43,0.48,0.51,0.58,0.50,0.67,0.87,0.75,0.82,0.70,0.61,0.47,0.50,0.39,0.35
12,HARYANA,217,PANCHKULA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,PANCHKULA Mfr of Dairy Products,135453776,22265,0.0002,0.13,0.43,0.53,0.31,0.31,0.27,0.27,0.04,0.01,0.04,0.04,0.09,0.13,0.10,0.13,0.12,0.12,0.07,0.14,0.12,0.13,1.46,1.33,1.20,0.14,0.08,0.06,0.12,0.04,0.04,0.03
12,HARYANA,218,PANIPAT,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,PANIPAT Mfr of Dairy Products,135453776,56691,0.0004,0.17,0.11,0.11,0.12,0.17,0.11,0.10,0.16,0.20,0.13,0.23,0.24,0.29,0.23,0.26,0.20,0.21,0.16,0.14,0.14,0.19,0.13,0.13,0.09,0.11,0.06,0.09,0.10,0.11,0.06,0.08
12,HARYANA,219,REWARI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,REWARI Mfr of Dairy Products,135453776,12736,0.0001,0.72,0.40,0.59,0.10,0.51,0.73,0.64,0.71,0.72,0.56,0.50,0.56,0.68,0.78,0.86,0.91,0.95,1.05,0.87,0.95,0.87,0.82,0.71,0.68,0.65,0.63,0.47,0.60,0.58,1.34,1.33
12,HARYANA,220,ROHTAK,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,ROHTAK Mfr of Dairy Products,135453776,13239,0.0001,1.10,7.26,7.19,5.45,1.31,0.18,3.80,4.80,0.27,0.17,4.66,5.24,5.34,4.52,0.90,0.74,0.44,0.96,0.58,0.78,0.51,1.43,0.58,0.57,0.57,0.54,0.40,0.59,0.44,0.62,0.83
12,HARYANA,221,SIRSA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SIRSA Mfr of Dairy Products,135453776,9646,0.0001,0.07,2.42,2.92,3.09,2.11,0.58,0.79,0.75,0.10,0.28,0.98,1.92,1.88,1.43,0.52,0.58,0.38,0.56,0.12,0.31,0.47,0.41,0.39,0.48,0.14,0.30,0.10,0.10,0.11,0.08,0.83
12,HARYANA,222,SONIPAT,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SONIPAT Mfr of Dairy Products,135453776,13055,0.0001,0.04,0.05,0.04,0.05,0.05,0.05,0.07,0.03,0.08,0.07,0.08,0.07,0.12,0.32,0.46,0.40,0.42,0.31,0.28,0.14,0.15,0.33,0.27,0.26,0.22,0.15,0.19,0.19,0.30,0.28,0.38
12,HARYANA,223,YAMUNANAGAR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,YAMUNANAGAR Mfr of Dairy Products,135453776,7414,0.0001,0.06,0.06,0.08,0.06,0.04,0.07,0.08,0.10,0.11,0.14,0.15,0.10,0.09,0.16,0.12,0.09,0.09,0.12,0.13,0.17,0.21,0.30,0.24,0.20,0.21,0.25,0.17,0.23,0.20,0.24,0.26
13,HIMACHAL PRADESH,224,CHAMBA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,CHAMBA Mfr of Dairy Products,135453776,312,,0.07,0.06,0.06,0.04,0.04,0.05,0.04,0.04,0.03,0.03,0.03,0.03,2.02,2.07,1.37,1.23,1.34,1.37,1.39,1.34,1.34,1.02,0.10,0.08,0.10,0.05,0.05,0.03,0.02,0.01,0.01
13,HIMACHAL PRADESH,225,HAMIRPUR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,HAMIRPUR Mfr of Dairy Products,135453776,6792,0.0001,1.25,1.06,0.90,0.68,0.63,0.72,0.59,0.56,0.45,0.41,0.62,0.56,2.58,2.72,2.99,2.88,2.99,3.14,3.09,3.35,3.17,2.86,0.82,0.70,0.63,0.52,0.37,0.11,0.22,0.21,1.21
13,HIMACHAL PRADESH,226,KANGRA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KANGRA Mfr of Dairy Products,135453776,3310,,0.10,0.10,0.17,0.07,0.07,0.12,0.13,0.09,0.11,0.14,0.21,0.12,1.17,1.53,0.40,0.35,0.37,0.49,0.39,0.39,0.39,0.40,0.14,0.13,0.16,0.18,0.19,0.24,0.23,0.25,0.26
13,HIMACHAL PRADESH,227,KINNAUR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KINNAUR Mfr of Dairy Products,135453776,258,,0.08,0.15,0.12,0.09,0.09,0.26,0.24,0.28,0.24,0.26,0.29,0.22,0.48,0.48,0.48,0.44,0.43,0.44,0.42,0.48,0.37,0.36,0.23,0.27,0.28,0.44,0.63,0.78,0.83,0.79,0.45
13,HIMACHAL PRADESH,228,KULU,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KULU Mfr of Dairy Products,135453776,3023,,0.15,0.15,0.19,0.18,0.16,0.18,0.17,0.17,0.17,0.15,0.22,0.19,0.45,0.70,0.75,0.67,0.69,0.57,0.61,0.67,0.57,0.58,0.14,0.32,0.27,0.27,0.22,0.42,0.29,0.28,0.32
13,HIMACHAL PRADESH,229,LAHUL & SPITI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,LAHUL & SPITI Mfr of Dairy Products,135453776,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.27,1.82,1.71,5.00,0.18,0.20,0.56,0.62,0.72,0.74,0.59,0.49,0.52,0.50,0.43,0.49,0.47,0.55,0.38
13,HIMACHAL PRADESH,230,MANDI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,MANDI Mfr of Dairy Products,135453776,15460,0.0001,0.40,0.38,0.38,0.31,0.34,0.38,0.39,0.41,0.42,0.46,0.60,0.47,1.03,1.08,0.97,0.79,0.94,1.05,1.37,1.22,1.34,1.35,0.58,0.63,0.43,0.68,0.52,0.49,0.35,0.35,0.24
13,HIMACHAL PRADESH,231,SHIMLA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SHIMLA Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.85,1.31,1.14,0.63,0.59,0.44,0.43,0.45,0.43,0.39,0.43,0.49
13,HIMACHAL PRADESH,232,SIMLA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SIMLA Mfr of Dairy Products,135453776,20325,0.0002,0.65,0.55,0.45,0.44,0.43,0.49,0.52,0.70,0.62,0.45,0.36,0.28,0.96,1.10,1.51,1.76,1.98,2.13,1.99,-,-,-,-,-,-,-,-,-,-,-,-
13,HIMACHAL PRADESH,233,SIRMAUR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SIRMAUR Mfr of Dairy Products,135453776,162867,0.0012,4.00,3.79,2.69,2.46,2.39,2.21,2.71,2.94,2.31,1.89,1.16,0.54,0.32,0.36,0.33,0.37,2.01,0.62,0.32,0.34,0.32,0.60,1.19,0.62,0.58,0.65,1.00,0.59,0.63,0.54,0.49
13,HIMACHAL PRADESH,234,SOLAN,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SOLAN Mfr of Dairy Products,135453776,57227,0.0004,1.07,0.90,0.59,0.58,0.55,0.28,0.04,0.05,0.05,0.04,0.05,0.06,0.11,0.12,0.12,0.18,0.12,0.14,0.12,0.14,0.12,0.13,0.11,0.10,0.12,0.11,0.12,0.09,0.10,0.08,0.07
13,HIMACHAL PRADESH,235,UNA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,UNA Mfr of Dairy Products,135453776,2936,,0.06,0.06,0.07,0.07,0.08,0.09,0.05,0.05,0.04,0.04,0.05,0.04,0.29,0.32,0.31,0.29,0.27,0.27,0.29,0.32,0.32,0.38,0.14,0.13,0.13,0.25,0.23,0.21,0.30,0.33,0.33
14,JAMMU & KASHMIR,236,ANANTNAG,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,ANANTNAG Mfr of Dairy Products,135453776,6407,,0.35,0.31,0.27,0.22,0.23,0.30,0.22,0.30,0.32,0.32,0.35,0.34,0.47,0.43,0.41,0.36,0.35,0.41,0.36,0.35,0.31,0.41,0.35,0.71,1.02,1.05,0.84,0.81,0.77,0.80,0.76
14,JAMMU & KASHMIR,237,BADGAM,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,BADGAM Mfr of Dairy Products,135453776,2021,,0.24,0.22,0.16,0.10,0.11,0.12,0.09,0.11,0.11,0.10,0.06,0.06,0.06,0.05,0.06,0.06,0.07,0.16,0.18,0.59,0.55,0.62,0.56,0.71,0.78,0.75,0.67,0.74,0.70,0.91,1.02
14,JAMMU & KASHMIR,238,BANDIPORA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,BANDIPORA Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.94,0.87,0.86,0.74,0.70,0.76,0.75,0.62,0.69,0.58,0.67,0.58
14,JAMMU & KASHMIR,239,BANDIPURA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,BANDIPURA Mfr of Dairy Products,135453776,452,,0.16,0.20,0.14,0.10,0.09,1.28,1.02,0.66,0.43,0.30,0.22,0.18,0.16,0.50,0.78,0.22,0.20,0.67,1.11,-,-,-,-,-,-,-,-,-,-,-,-
14,JAMMU & KASHMIR,240,BARAMULLA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,BARAMULLA Mfr of Dairy Products,135453776,8128,0.0001,0.96,0.93,0.61,0.52,0.49,0.59,0.85,1.09,0.92,0.92,1.66,1.68,1.76,1.67,1.69,1.73,1.71,1.80,2.02,2.28,1.85,2.05,1.91,1.78,1.45,1.47,1.29,1.33,1.23,1.37,1.34
14,JAMMU & KASHMIR,241,DODA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,DODA Mfr of Dairy Products,135453776,1622,,4.22,3.66,2.26,1.64,1.48,1.05,0.52,0.41,0.52,0.55,1.15,1.01,1.13,1.00,0.92,0.92,1.18,1.12,0.94,0.86,0.69,0.64,0.51,0.51,0.45,0.54,0.47,0.58,0.47,0.63,0.59
14,JAMMU & KASHMIR,242,GANDERBAL,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,GANDERBAL Mfr of Dairy Products,135453776,21,,0.00,0.02,0.01,0.01,0.01,0.07,0.15,0.17,0.19,0.18,0.18,0.17,0.21,0.19,0.31,0.32,0.33,0.51,0.55,0.82,0.79,0.89,0.83,0.78,0.65,0.62,0.53,0.55,0.55,0.69,0.67
14,JAMMU & KASHMIR,243,JAMMU,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,JAMMU Mfr of Dairy Products,135453776,182613,0.0013,0.54,0.41,0.34,0.37,0.29,0.18,0.36,0.26,0.34,0.23,0.35,0.20,0.28,0.28,0.42,0.59,0.52,0.43,0.54,0.43,0.52,0.60,0.64,0.71,0.67,0.76,0.70,0.91,0.92,0.96,1.15
14,JAMMU & KASHMIR,244,KATHUA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KATHUA Mfr of Dairy Products,135453776,237904,0.0018,5.53,5.05,2.70,2.63,2.84,2.62,3.92,3.78,3.25,3.07,4.92,4.12,2.77,2.55,3.76,3.03,2.34,2.53,4.21,2.95,2.51,2.61,3.23,2.05,2.01,1.89,2.10,1.67,1.46,1.47,2.17
