Sr. No,State,District1,District,Major Sector,Sub-sector1,Sub-Sector,Detailed Sector,Occupation/Activity,Concatenate,Sum of Activity,Outstanding credit Sep 2017,Ratio = Outstanding credit 2017/sum of activity,01-09-2017,01-12-2017,01-03-2018,01-06-2018,01-09-2018,01-12-2018,01-03-2019,01-06-2019,01-09-2019,01-12-2019,01-03-2020,01-06-2020,01-09-2020,01-12-2020,01-03-2021,01-06-2021,01-09-2021,01-12-2021,01-03-2022,01-06-2022,01-09-2022,01-12-2022,01-03-2023,01-06-2023,01-09-2023,01-12-2023,01-03-2024,01-06-2024,01-09-2024,01-12-2024,01-03-2025
25,NCT OF DELHI,488,SOUTH-WEST DELHI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SOUTH-WEST DELHI Mfr of Dairy Products,135453776,603310,0.0045,3.63,3.78,4.36,3.69,0.73,4.64,4.76,0.87,0.60,0.89,0.57,0.35,0.36,0.36,0.48,0.14,0.20,0.23,0.91,0.36,0.43,0.33,0.43,0.18,0.14,0.12,0.36,0.24,0.32,0.61,0.15
25,NCT OF DELHI,489,WEST DELHI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,WEST DELHI Mfr of Dairy Products,135453776,154163,0.0011,3.59,1.94,1.59,1.68,1.53,1.23,1.22,1.49,1.35,1.67,1.34,1.25,1.09,0.98,0.78,0.83,0.75,0.77,0.71,0.69,0.74,0.66,0.56,0.44,0.95,0.89,0.82,0.83,0.40,0.30,0.59
26,ODISHA,490,ANGUL,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,ANGUL Mfr of Dairy Products,135453776,1427,,0.05,0.04,0.03,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.03,0.02,0.02,0.03,0.09,-,-,-,-,-,-,-,-,-,-,-,-
26,ODISHA,491,ANUGUL,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,ANUGUL Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.09,0.06,0.04,0.05,0.05,0.08,0.09,0.07,0.07,0.06,0.06,0.06
26,ODISHA,492,BALANGIR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,BALANGIR Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.47,0.37,0.38,0.36,0.06,0.08,0.08,0.05,0.07,0.08,0.06,0.08
26,ODISHA,493,BALESHWAR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,BALESHWAR Mfr of Dairy Products,135453776,2185,,0.02,0.02,0.04,0.06,0.05,0.04,0.04,0.04,0.04,0.04,0.06,0.06,0.04,0.07,0.05,0.02,0.04,0.08,0.13,0.12,0.12,0.09,0.09,0.09,0.12,0.15,0.13,0.12,0.10,0.09,0.08
26,ODISHA,494,BARGARH,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,BARGARH Mfr of Dairy Products,135453776,13182,0.0001,0.09,0.13,0.10,0.09,0.08,0.09,0.10,0.12,0.11,0.12,0.11,0.15,0.18,0.17,0.14,0.16,0.13,0.13,0.14,0.13,0.11,0.13,0.11,0.11,0.19,0.11,0.10,0.11,0.12,0.16,0.14
26,ODISHA,495,BHADRAK,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,BHADRAK Mfr of Dairy Products,135453776,10667,0.0001,0.20,0.22,0.23,0.23,0.21,0.23,0.26,0.27,0.28,0.26,0.29,0.26,0.26,0.22,0.20,0.17,0.19,0.22,0.27,0.40,0.42,0.42,0.28,0.22,0.20,0.16,0.16,0.17,0.15,0.16,0.18
26,ODISHA,496,BOLANGIR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,BOLANGIR Mfr of Dairy Products,135453776,4793,,0.07,0.11,0.08,0.13,0.16,0.19,0.38,0.93,1.18,1.16,1.17,0.91,0.96,0.93,0.82,0.73,0.72,0.55,0.54,-,-,-,-,-,-,-,-,-,-,-,-
26,ODISHA,497,BOUDH,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,BOUDH Mfr of Dairy Products,135453776,140,,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.05,0.04,0.06,0.07,0.03,0.03,0.04,0.04,0.05,0.03,0.07,0.06,0.08,0.07,0.06,0.06,0.05,0.04,0.03,0.04,0.03,0.04,0.03
26,ODISHA,498,CUTTACK,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,CUTTACK Mfr of Dairy Products,135453776,23496,0.0002,0.06,0.06,0.08,0.06,0.13,0.22,0.24,0.25,0.24,0.13,0.17,0.15,0.28,0.15,0.22,0.22,0.14,0.12,0.17,0.18,0.25,0.29,0.27,0.26,0.34,0.68,0.72,0.70,0.70,0.87,0.67
26,ODISHA,499,DEOGARH,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,DEOGARH Mfr of Dairy Products,135453776,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.02,0.06,0.06,0.06,0.03,0.03,0.02,0.03,0.03,0.12,0.24,0.48,0.59,0.55,0.65,0.37,0.30,0.15,0.24,0.21,0.18,0.10
26,ODISHA,500,DHENKANAL,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,DHENKANAL Mfr of Dairy Products,135453776,917,,0.03,0.03,0.03,0.02,0.03,0.04,0.04,0.03,0.02,0.01,0.05,0.06,0.06,0.04,0.03,0.03,0.06,0.08,0.12,0.16,0.16,0.14,0.14,0.11,0.09,0.08,0.06,0.05,0.05,0.04,0.05
26,ODISHA,501,GAJAPATI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,GAJAPATI Mfr of Dairy Products,135453776,250,,0.01,0.01,0.01,0.00,0.01,0.00,0.01,0.06,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.12,0.11,0.10,0.16,0.09,0.04,0.04,0.04,0.02,0.04,0.06,0.04
26,ODISHA,502,GANJAM,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,GANJAM Mfr of Dairy Products,135453776,12539,0.0001,0.07,0.09,0.12,0.11,0.10,0.11,0.10,0.10,0.09,0.12,0.11,0.08,0.08,0.09,0.09,0.08,0.11,0.12,0.11,0.17,0.18,0.25,0.19,0.16,0.20,0.20,0.20,0.18,0.15,0.14,0.11
26,ODISHA,503,JAGATSINGHPUR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,JAGATSINGHPUR Mfr of Dairy Products,135453776,1840,,0.16,0.16,0.12,0.10,0.10,0.15,0.15,0.19,0.16,0.13,0.22,0.19,0.18,0.16,0.10,0.09,0.37,0.18,0.22,0.26,0.38,0.54,0.53,0.45,0.47,0.50,0.41,0.41,0.39,0.41,0.33
26,ODISHA,504,JAJPUR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,JAJPUR Mfr of Dairy Products,135453776,4274,,0.14,0.10,0.09,0.18,0.16,0.12,0.08,0.07,0.09,0.11,0.15,0.14,0.12,0.12,0.10,0.08,0.12,0.21,0.25,0.26,0.26,0.28,0.20,0.14,0.18,0.18,0.14,0.13,0.12,0.15,0.15
26,ODISHA,505,JHARSUGUDA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,JHARSUGUDA Mfr of Dairy Products,135453776,1643,,0.16,0.08,0.06,0.05,0.05,0.07,0.41,0.49,0.55,0.65,0.72,0.65,0.59,0.46,0.46,0.36,0.30,0.25,0.18,0.20,0.18,0.22,0.21,0.20,0.18,0.17,0.13,0.12,0.04,0.06,0.05
26,ODISHA,506,KALAHANDI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KALAHANDI Mfr of Dairy Products,135453776,303,,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.02,0.03,0.03,0.02,0.03,0.03,0.04,0.03,0.04,0.04,0.06,0.06,0.05,0.04,0.03,0.03,0.03,0.01,0.02,0.02,0.02,0.02
